ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
5.5,135,2148,8,280,441,14,88,5,0
7.2,120,2462,6,289,418,13,63,3,0
9.2,163,2086,7,320,426,10,62,3,0
4.3,166,2440,7,297,349,13,54,3,0
7.3,223,1151,8,333,494,18,73,4,0
8.5,175,1183,7,308,474,21,52,5,0
7.1,169,3615,8,329,590,17,103,3,0
2.6,188,3479,6,333,468,13,49,4,0
8.5,204,2298,8,358,435,17,62,3,0
7.1,213,2253,6,334,463,11,69,3,0
8.9,254,962,7,348,344,7,78,5,0
6.1,189,2777,6,347,245,14,73,3,0
8.4,185,1323,3,308,463,17,48,3,0
9.3,222,1231,7,332,353,14,66,5,0
7.9,226,1271,7,346,445,6,63,4,0
7.7,252,3647,8,426,339,17,60,3,0
3.4,212,2023,8,349,353,18,82,2,0
6.7,218,2187,7,333,373,16,74,3,0
7.1,190,2806,9,357,263,13,67,5,0
7.2,261,1410,9,358,290,17,82,4,0
10.1,240,1533,5,361,403,16,61,3,0
7.4,122,885,6,241,489,13,66,3,0
7.8,196,4255,7,333,442,14,66,6,0
6.9,136,2743,7,307,342,18,81,3,0
7.1,146,1636,7,333,468,18,49,4,0
7.1,230,2741,7,369,274,9,72,4,0
7.5,267,2686,10,333,505,16,57,2,0
8.6,231,2891,7,369,432,16,73,3,0
10.3,217,2765,8,369,382,6,59,3,0
7.1,252,2936,9,433,465,13,84,5,0
7.4,207,2491,9,362,363,11,67,4,0
11.2,228,1660,6,333,504,15,110,3,0
6.5,202,1708,6,326,481,16,46,3,0
6.6,151,1090,3,240,437,15,64,3,0
5.0,155,3497,7,320,500,18,63,3,0
6.9,155,1797,4,275,439,18,55,2,0
8.0,245,3217,9,399,473,11,23,3,0
6.1,197,3595,8,379,360,20,41,4,0
6.2,191,2814,7,319,448,19,60,4,0
6.1,160,1477,7,305,327,12,69,3,0
8.1,177,2783,9,334,397,15,81,3,0
9.6,202,1304,5,327,433,14,63,3,0
8.2,200,2714,7,344,525,16,66,4,0
8.6,270,1579,5,333,672,20,54,3,0
7.1,167,2094,4,333,566,11,66,3,0
6.8,187,4614,6,352,373,12,58,3,0
7.9,204,2514,7,338,469,15,86,4,0
5.0,220,2180,6,311,386,18,53,3,0
6.2,192,1344,5,325,533,14,60,3,0
7.1,157,2006,8,333,490,17,71,4,0
9.8,264,847,8,359,353,15,52,4,0
9.6,152,2364,6,333,417,16,89,4,0
5.2,104,2006,6,333,368,15,98,3,0
7.6,199,1631,9,358,420,10,100,2,0
5.8,155,2490,6,297,313,11,85,4,0
6.6,197,1765,4,290,254,9,73,4,0
4.8,180,1355,8,322,587,12,62,4,0
7.9,238,1912,5,333,434,8,67,3,0
6.9,216,1999,7,340,356,9,61,2,0
7.1,281,2245,6,343,395,14,67,4,0
7.1,190,1222,4,308,399,11,61,3,0
8.5,212,3440,8,384,477,13,66,3,0
7.7,233,2166,6,340,472,14,36,3,0
7.1,247,1954,8,333,438,16,64,3,0
8.9,241,2282,8,367,380,10,75,4,0
6.2,153,1735,8,328,481,14,62,4,0
6.1,141,961,7,277,415,16,50,4,0
7.1,202,1198,9,339,416,14,62,2,0
7.3,274,1460,8,384,415,16,68,3,0
7.1,170,3990,6,333,515,13,40,4,0
8.6,201,2647,6,352,309,17,68,5,0
7.1,205,2040,6,355,482,12,70,4,0
8.2,127,1028,5,267,487,11,90,2,0
8.3,206,3521,6,347,399,16,79,3,0
7.1,233,2113,6,333,332,9,77,3,0
7.1,237,2600,7,372,344,14,72,3,0
9.5,234,1551,4,333,277,16,81,4,0
7.8,190,769,4,292,507,15,85,4,0
4.4,139,2886,8,298,434,17,63,4,0
7.2,201,2378,7,340,579,13,62,3,0
7.1,260,1951,8,368,251,12,48,3,0
6.9,174,2411,5,297,484,11,65,3,0
6.1,200,3098,8,348,341,9,79,4,0
7.9,278,2719,9,424,358,15,56,3,0
6.5,181,2913,7,345,475,12,52,4,0
5.3,232,3762,8,380,580,12,55,2,0
6.8,168,1106,7,305,289,18,62,5,0
5.9,141,1365,5,279,538,12,67,4,0
9.5,201,947,6,319,259,15,66,2,0
6.3,225,4522,5,363,435,11,80,3,0
8.7,284,2708,7,333,512,16,72,3,0
5.7,146,1646,6,299,272,13,87,5,0
6.6,112,2583,7,312,327,19,85,4,0
7.8,176,1834,7,338,371,9,76,4,0
7.6,261,1837,6,333,387,16,51,3,0
7.4,185,1626,5,316,419,16,64,4,0
9.3,129,1600,4,271,499,13,82,4,0
3.7,248,2359,7,351,427,20,38,2,0
6.7,216,2057,8,333,336,17,71,2,0
9.9,214,1532,3,297,424,19,70,3,0
5.6,229,3537,7,333,469,13,76,4,0
5.6,229,3134,7,333,306,13,87,2,0
4.1,125,1121,5,261,445,18,86,4,0
6.0,230,1632,5,315,327,13,39,5,0
7.1,229,1616,4,333,448,8,66,4,0
8.4,183,1297,6,315,493,12,87,3,0
6.3,190,1220,7,333,395,13,58,3,0
11.3,161,604,7,333,316,11,25,4,0
9.3,163,1399,4,333,399,15,83,3,0
7.9,154,776,7,258,407,16,63,4,0
7.9,269,3444,6,390,425,13,56,3,0
10.0,224,1496,7,336,517,18,65,4,0
6.5,225,3486,8,385,324,12,97,4,0
5.9,207,2224,6,352,465,14,77,4,0
7.1,220,2141,6,335,382,9,86,3,0
5.3,160,2529,6,300,497,15,61,4,0
7.5,186,1164,5,333,363,10,49,3,0
4.1,207,1819,7,333,288,13,35,2,0
7.1,105,3792,5,333,358,12,71,3,0
7.1,189,430,3,259,400,12,63,3,0
6.3,213,2484,8,333,543,17,84,5,0
8.0,276,1716,7,397,514,14,60,3,0
8.9,228,2848,5,351,474,14,52,4,0
7.1,192,1825,7,313,462,13,53,4,0
6.6,141,2564,7,295,374,14,74,3,0
7.7,137,1672,7,282,595,18,63,2,0
9.9,238,1070,6,351,405,13,59,4,0
9.0,202,1952,7,330,366,15,55,4,0
5.1,273,2630,10,380,513,18,61,4,0
8.6,263,2322,6,383,588,13,86,4,0
7.1,112,858,4,234,434,23,94,3,0
7.7,180,1210,5,296,469,15,61,3,0
7.1,133,1827,5,333,415,11,92,3,0
6.4,208,3075,7,333,523,20,66,3,0
4.4,178,2500,4,298,429,17,56,3,0
7.0,183,2311,6,323,470,16,65,4,0
6.6,203,1716,6,311,410,15,65,2,0
3.7,201,2810,5,330,291,17,75,3,0
4.8,205,1765,8,350,414,10,47,5,0
5.8,199,2416,9,333,428,16,64,4,0
6.9,177,1262,7,333,439,9,83,3,0
7.4,208,2854,6,339,522,17,65,3,0
4.7,252,2283,5,378,411,16,66,3,0
9.4,265,1515,4,333,503,11,99,4,0
7.8,187,2041,7,325,351,16,68,4,0
9.4,143,2072,7,333,469,14,66,4,0
9.4,216,2794,6,355,347,16,32,3,0
6.3,207,853,5,286,491,10,74,4,0
7.1,217,1798,8,333,409,10,18,3,0
4.7,103,1955,6,333,370,9,93,3,0
8.9,222,887,6,332,425,10,66,3,0
6.6,272,3716,8,416,351,15,79,4,0
6.8,231,1853,8,342,385,13,79,5,0
9.4,145,1316,9,310,592,8,77,3,1
9.0,128,1985,8,300,451,14,73,3,1
7.1,169,2340,8,333,475,12,50,2,1
6.8,242,3914,9,187,376,11,73,3,1
7.2,203,2040,7,287,315,14,74,3,1
7.7,236,1424,6,373,416,10,85,2,1
8.3,207,2804,8,297,358,18,60,4,1
5.9,223,2324,4,333,277,11,66,5,1
9.8,98,2735,9,323,512,14,59,2,1
6.1,215,1597,8,308,417,13,62,3,1
5.0,280,2684,6,374,297,15,70,3,1
4.8,217,1639,7,278,481,15,77,4,1
6.5,278,2550,6,366,497,16,79,3,1
13.2,47,1923,8,375,500,12,66,4,1
6.6,233,1959,4,432,401,11,73,4,1
7.8,212,2987,6,360,359,14,83,3,1
5.2,211,1486,7,323,388,17,83,3,1
5.6,230,1444,5,333,346,11,43,1,1
6.9,251,2172,8,279,539,12,56,4,1
9.1,155,1573,7,343,463,17,83,3,1
7.3,127,2778,9,247,439,17,59,5,1
7.3,175,2264,7,293,373,17,56,5,1
6.5,229,2247,12,192,479,9,66,4,1
7.2,175,3580,8,320,468,16,71,3,1
7.1,156,1614,6,352,629,13,42,3,1
5.3,280,3534,13,180,392,10,55,4,1
7.1,169,2984,5,350,353,18,30,3,1
5.3,224,2889,6,333,360,12,67,5,1
10.8,81,2599,8,318,392,12,52,4,1
6.3,258,1377,7,328,563,16,73,4,1
9.8,129,2068,9,291,427,11,78,2,1
8.2,167,1393,10,243,391,13,61,4,1
6.9,173,2011,6,333,374,19,66,4,1
10.4,136,4862,9,327,365,17,77,4,1
8.0,171,2362,9,259,327,16,107,4,1
3.9,243,775,0,333,341,12,60,3,1
5.7,216,1594,7,333,372,17,77,3,1
10.0,143,4611,12,333,574,16,36,4,1
6.6,198,3400,8,274,477,14,78,4,1
7.6,156,2624,8,255,495,13,65,4,1
4.8,268,1786,4,377,608,10,83,3,1
7.7,181,655,5,390,516,17,58,4,1
8.3,211,2000,8,275,475,12,66,3,1
6.2,225,1288,4,333,389,14,76,3,1
9.0,121,1561,6,372,390,15,63,4,1
6.1,236,808,6,333,416,12,106,3,1
7.1,178,2584,7,312,323,16,69,3,1
7.1,191,2194,5,355,509,16,84,4,1
5.4,187,3590,4,333,454,6,103,4,1
8.1,195,2948,10,298,321,9,72,3,1
7.1,225,2251,7,377,291,11,72,4,1
10.0,132,1155,8,323,442,13,92,5,1
5.7,229,1695,8,293,554,14,54,3,1
7.1,181,2777,7,298,417,8,72,3,1
8.9,135,2791,12,333,415,11,69,4,1
6.4,225,1559,6,333,466,18,87,4,1
7.0,201,1134,4,333,468,10,89,4,1
5.9,203,1921,9,333,420,11,65,5,1
6.8,187,1530,7,316,498,19,55,5,1
10.0,113,1626,7,363,557,13,75,3,1
7.1,273,4450,8,233,485,14,52,4,1
7.3,235,3604,5,377,385,17,89,4,1
7.1,161,2929,7,350,375,19,86,3,1
5.9,185,4406,4,412,331,15,59,5,1
7.3,174,3399,9,259,435,16,81,4,1
8.1,200,1156,9,333,510,10,40,4,1
7.8,157,2331,9,324,294,17,72,3,1
11.3,77,3922,8,337,410,14,53,3,1
6.6,233,2558,9,333,489,14,46,2,1
9.2,119,2661,6,343,379,10,54,4,1
7.1,144,1450,5,353,290,8,67,5,1
4.6,307,1611,7,333,439,18,60,3,1
7.8,188,3270,11,258,507,18,85,4,1
5.6,256,1124,7,329,369,15,51,2,1
7.9,213,3885,11,281,326,10,64,4,1
7.4,193,1355,4,333,430,19,72,2,1
3.7,275,2373,9,333,426,17,55,3,1
9.6,167,2115,7,346,335,14,50,5,1
7.0,212,2995,7,321,378,13,72,3,1
7.7,152,2298,6,343,401,14,64,4,1
6.7,220,2469,8,333,384,6,8,4,1
7.1,163,1857,8,296,463,16,61,4,1
5.4,240,1818,5,397,551,12,79,4,1
7.0,264,1597,10,262,412,5,76,4,1
7.1,250,2735,6,377,559,13,77,2,1
10.0,94,2551,6,385,388,11,69,3,1
5.6,261,3527,6,333,278,13,83,3,1
8.0,221,1862,6,333,309,19,72,5,1
5.5,254,2108,8,347,469,13,60,4,1
7.5,161,1911,8,289,440,13,80,3,1
6.8,159,1283,5,373,558,12,69,4,1
7.1,181,3028,10,256,487,11,68,3,1
5.9,282,1524,6,363,695,13,89,3,1
8.7,153,1173,7,333,447,12,39,3,1
6.0,221,1665,5,333,383,22,81,4,1
9.6,173,3878,5,444,492,12,48,4,1
4.3,278,1967,4,414,330,11,70,4,1
3.6,323,3896,8,333,514,10,71,3,1
8.5,157,1820,8,309,498,12,52,3,1
8.1,174,2136,7,315,497,11,46,3,1
9.2,186,1579,8,333,425,12,112,4,1
8.8,188,3203,13,182,479,12,77,4,1
9.5,185,1808,7,388,409,12,63,4,1
8.1,198,902,7,338,328,9,42,3,1
2.8,311,2693,7,333,521,14,42,3,1
6.4,188,1196,7,365,502,13,96,3,1
7.8,213,2525,7,363,543,15,107,4,1
7.7,239,2933,10,217,441,16,66,2,1
5.1,225,3091,6,371,356,8,77,3,1
7.5,218,1208,4,407,518,17,56,4,1
5.4,201,1941,3,384,350,13,66,3,1
7.1,140,1794,6,376,402,12,29,3,1
6.9,190,2197,5,363,349,9,68,4,1
4.8,250,1146,4,398,607,18,62,3,1
5.0,242,1390,6,333,429,17,61,3,1
4.8,234,2817,10,187,444,11,89,2,1
4.0,291,5231,7,333,401,16,87,3,1
6.5,240,2953,6,341,265,13,93,4,1
6.8,153,2441,7,333,459,14,93,2,1
7.0,211,3373,6,333,395,14,39,4,1
5.6,226,2833,8,293,351,15,35,5,1
6.0,194,1735,4,404,406,11,48,4,1
6.3,180,3627,9,275,307,18,93,2,1
8.0,193,771,6,333,440,22,62,3,1
8.9,135,485,5,333,532,20,20,3,1
6.0,224,2998,7,329,604,17,65,4,1
10.3,163,1889,10,269,446,11,82,3,1
7.1,131,2162,7,333,390,14,26,4,1
6.1,249,4524,7,338,314,11,88,3,1
9.4,73,2043,8,315,458,12,50,3,1
6.9,223,2918,10,253,386,11,67,4,1
6.5,169,2515,4,375,296,15,74,4,1
5.8,213,2612,8,273,465,8,59,6,1
4.9,308,4406,7,280,327,14,66,4,1
9.7,166,1362,7,385,369,12,68,2,1
5.5,185,2014,10,209,517,18,49,3,1
7.1,193,4226,9,258,384,9,75,3,1
7.1,143,1626,6,333,503,19,66,3,1
6.4,240,1397,9,314,473,17,84,3,1
5.5,211,2736,5,340,358,16,66,3,1
8.5,181,3142,7,350,393,10,82,2,1
7.4,175,946,5,333,402,15,37,3,1
6.7,199,1590,5,346,347,15,61,2,1
6.8,218,1796,8,333,358,10,57,4,1
8.7,194,2428,8,329,333,16,67,3,1
7.1,196,1691,6,320,520,12,66,4,1
7.1,242,965,6,359,588,15,62,5,1
5.0,232,2565,5,328,529,13,38,3,1
7.1,281,2170,5,348,347,15,85,4,1
7.7,168,1433,5,333,421,7,67,4,1
6.3,208,3735,8,256,380,5,68,4,1
8.6,189,1451,5,422,348,17,66,3,1
5.8,272,1541,7,315,424,15,60,3,1
7.1,206,1383,8,321,369,14,66,5,1
8.0,158,1966,8,283,431,20,59,4,1
7.1,286,4693,7,262,557,14,74,4,1
4.7,249,2083,5,378,411,17,78,3,1
8.2,214,1038,6,327,403,15,72,3,1
6.4,196,2574,2,435,352,16,33,4,1
7.0,179,2882,4,389,593,12,58,4,1
7.1,185,2734,8,333,313,13,56,4,0
7.1,185,1497,6,346,418,18,67,5,0
6.9,220,3643,5,337,367,20,53,4,0
5.7,188,2683,6,318,498,9,53,3,0
5.6,177,1792,8,303,552,10,57,5,0
7.4,193,2673,10,309,557,16,61,3,0
6.3,206,3141,4,349,567,15,73,4,0
9.9,208,1966,8,340,482,11,85,4,0
5.4,175,1537,7,312,308,12,66,4,0
5.0,166,2222,9,295,449,12,63,3,0
6.5,192,1834,8,335,517,23,51,2,0
6.5,214,2123,6,336,532,18,90,4,0
6.3,225,2392,7,303,484,13,67,2,0
8.0,180,1938,9,325,386,11,67,4,0
7.1,212,3703,5,351,535,15,33,4,0
7.6,223,4087,7,310,370,14,73,3,0
6.9,173,1994,7,334,441,10,89,5,0
9.9,208,1467,6,366,442,19,66,4,0
7.6,178,1830,6,362,394,11,81,4,0
7.0,223,3110,3,343,530,13,70,3,0
8.1,208,1548,5,361,423,15,75,3,0
7.2,213,2343,5,328,325,14,60,3,0
7.5,199,2539,4,342,444,16,43,5,0
8.4,234,2755,5,362,519,14,55,2,0
6.1,175,2907,12,287,469,13,83,3,0
6.1,174,1631,8,333,435,10,62,5,0
6.4,243,3996,6,297,437,15,54,4,0
9.5,225,1222,2,387,485,13,62,2,0
7.9,199,2043,6,337,549,16,66,4,0
5.9,153,2191,9,319,352,14,65,5,0
7.1,186,2600,8,320,534,19,54,5,0
6.5,210,2897,4,333,422,7,83,3,0
5.2,207,2700,6,333,350,12,49,4,0
7.9,210,2670,6,341,374,8,72,3,0
7.7,234,2205,8,333,397,14,50,3,0
6.7,201,2288,7,319,325,16,58,4,0
10.5,190,670,6,333,498,14,66,4,0
9.1,205,2086,6,330,422,16,77,4,0
8.1,174,1267,7,333,589,14,39,3,0
7.1,232,2617,3,334,380,9,41,3,0
7.1,139,291,10,343,532,11,42,4,0
8.0,169,889,7,328,430,12,76,3,0
7.0,192,2098,6,320,381,15,88,3,0
5.5,166,2114,7,322,306,14,64,4,0
8.5,248,2237,2,366,341,14,78,2,0
7.3,176,1485,8,327,445,19,87,3,0
6.3,181,1690,11,333,481,10,74,4,0
7.2,201,1446,6,314,534,14,82,3,0
8.7,144,255,9,347,517,13,42,2,0
8.6,168,701,8,355,419,17,33,4,0
7.2,180,1085,8,341,358,12,83,3,0
7.2,203,3422,9,320,415,16,90,3,0
8.9,189,1524,7,341,361,21,66,2,0
6.4,206,1840,3,348,389,13,60,2,0
6.7,238,2613,6,309,326,8,46,2,0
5.4,201,2800,7,331,365,11,65,3,0
7.5,185,2157,7,333,444,15,49,4,0
7.1,199,1533,8,303,399,11,58,4,0
4.4,188,2954,8,301,456,16,46,4,0
10.3,217,1067,3,397,492,12,72,3,0
6.6,198,2107,6,331,447,12,59,4,0
4.2,189,3129,7,333,370,11,50,5,0
7.9,173,1345,6,356,471,16,68,3,0
6.3,166,1839,8,333,436,12,67,3,0
7.1,181,2343,7,333,329,12,38,5,0
7.8,186,2592,8,333,399,22,35,4,0
8.2,190,2001,8,356,377,17,37,4,0
5.7,188,3564,8,322,256,15,66,2,0
7.4,193,2320,7,333,496,15,73,4,0
4.8,196,1918,4,329,459,13,84,4,0
7.9,210,1431,6,333,403,12,74,4,0
5.9,201,2539,7,313,434,18,59,4,0
7.7,178,1847,8,334,518,10,63,3,0
7.8,190,2022,9,335,379,14,73,3,0
6.1,168,2389,9,318,494,19,60,3,0
5.0,193,1734,7,322,444,17,66,4,0
8.7,200,1504,8,356,441,17,74,4,0
7.7,221,3025,6,320,529,17,84,4,0
8.6,200,978,5,333,511,11,66,4,0
5.7,184,1752,5,339,409,15,31,3,0
6.6,204,2144,5,312,412,11,62,2,0
6.5,195,2961,7,328,530,11,68,2,0
7.1,169,1840,5,342,350,19,86,6,0
9.2,223,2161,4,333,480,12,65,5,0
7.1,162,2131,7,289,457,7,60,4,0
6.3,158,1528,7,342,334,9,38,5,0
6.0,181,1182,3,356,543,8,60,4,0
7.6,172,1093,8,333,400,12,51,3,0
6.4,178,2599,7,329,566,11,60,6,0
7.1,196,1790,3,333,417,14,57,3,0
6.1,191,2685,9,312,375,15,73,4,0
5.8,168,1915,6,331,506,14,80,4,0
5.4,175,2900,6,333,463,19,67,4,0
5.3,184,2227,9,319,492,11,87,2,0
5.4,212,4014,8,318,355,17,64,3,0
9.9,207,1654,7,363,278,17,44,4,0
7.1,218,4206,6,324,503,15,48,4,0
7.1,204,2057,7,333,353,16,57,3,0
9.4,173,877,8,358,596,16,105,4,0
7.5,263,3108,1,333,584,11,45,4,0
5.3,206,4221,8,333,410,11,46,5,0
7.3,202,2189,7,339,379,7,64,4,0
7.8,223,3737,6,333,343,16,74,2,0
6.8,197,2360,8,333,526,10,62,2,0
5.6,152,1983,9,323,596,14,49,4,0
5.7,233,4141,5,310,509,22,73,3,0
5.4,226,4551,7,307,420,21,58,4,0
7.1,208,1726,3,387,631,8,68,3,0
5.0,169,2907,10,297,467,15,23,4,0
4.6,197,2596,8,333,461,12,69,3,0
7.1,203,2141,6,319,348,12,68,4,0
7.0,202,2350,5,335,471,13,63,5,0
5.8,194,1617,6,318,387,12,52,4,0
8.4,183,1285,7,361,587,15,77,3,0
5.9,213,4183,7,312,357,15,54,4,0
6.9,187,1902,6,333,428,12,44,5,0
10.3,217,965,4,369,528,18,54,3,0
8.2,182,1894,6,347,332,18,66,4,0
7.3,208,3087,6,336,352,10,64,4,0
8.8,226,1814,4,320,350,14,64,3,0
6.6,198,2786,7,318,573,13,81,4,0
6.1,197,3965,9,288,319,11,120,4,0
5.9,177,2729,8,312,385,13,60,4,0
5.4,163,1964,9,314,491,15,48,3,0
5.0,160,2721,11,289,303,16,70,3,0
6.5,163,1500,7,334,517,17,37,4,0
9.6,200,1890,7,333,370,11,64,4,0
8.7,179,969,6,368,323,13,85,2,0
8.4,187,1060,7,352,376,13,58,2,0
7.1,204,1255,5,359,610,16,52,3,0
3.8,186,1998,7,333,483,13,74,3,0
4.3,148,2664,9,316,365,12,54,3,0
9.9,210,1318,4,333,481,11,49,3,0
4.3,186,3056,9,276,282,13,66,3,0
8.3,196,1131,5,364,607,8,76,4,0
7.1,179,478,5,378,517,14,68,2,0
3.4,207,4907,5,301,351,15,86,3,0
7.5,182,1710,5,357,499,20,60,3,0
7.0,191,2618,7,317,564,19,50,4,0
7.1,164,1590,11,333,360,17,60,4,0
7.5,237,2522,7,316,377,5,62,3,0
7.1,190,1832,7,354,445,12,63,4,0
7.2,204,1565,3,333,407,15,64,4,0
8.8,187,785,6,333,384,16,77,3,0
7.1,198,2648,6,333,472,11,63,4,0
7.1,219,2943,9,302,426,17,70,5,0
9.0,169,434,5,386,471,16,62,2,0
9.5,199,908,5,367,501,12,55,3,0
6.1,213,2041,6,333,435,23,81,4,0
7.5,210,2925,5,339,445,16,84,5,0
7.1,221,2909,5,333,515,19,62,5,0
6.6,172,1487,7,338,405,15,58,4,0
6.0,200,3288,6,352,349,14,43,3,0
6.3,164,1497,10,316,337,19,64,3,0
7.1,209,2738,7,323,301,13,62,4,0
7.5,217,1943,4,352,494,14,57,3,0
6.4,175,2583,8,333,302,10,70,3,0
9.0,228,2520,6,333,380,15,66,2,0
7.5,223,1826,5,333,456,14,99,2,0
5.7,189,1582,8,313,425,14,81,2,0
7.8,174,1340,7,333,491,13,75,4,0
7.1,180,972,5,333,399,15,67,3,0
8.8,157,472,8,356,299,9,61,5,0
8.0,186,1500,7,355,561,10,67,3,0
7.2,214,2371,3,343,506,15,66,5,0
6.4,202,2092,5,338,332,12,75,3,0
6.1,179,2795,8,303,467,13,69,3,0
8.5,228,1606,4,356,370,14,82,4,0
5.8,200,2784,7,318,414,15,62,3,0
7.1,220,1156,6,359,406,14,59,4,0
6.8,192,1908,4,345,457,13,66,4,0
7.9,174,1046,7,350,472,14,60,3,0
8.6,221,2489,6,341,389,15,36,3,0
5.6,229,4465,6,323,424,12,40,3,0
8.1,218,3135,5,334,376,14,52,4,0
6.7,222,2531,4,339,318,19,72,3,0
6.5,173,2373,9,330,593,13,63,4,0
9.7,209,1089,6,358,449,13,47,5,0
9.3,204,1433,9,328,431,11,90,5,0
7.1,180,1770,6,350,447,10,32,3,0
10.1,175,523,9,333,477,16,62,3,0
6.5,177,1653,10,305,466,6,65,4,0
6.1,200,1693,6,333,404,9,84,2,0
6.3,214,2102,7,331,434,15,64,1,0
5.3,185,2653,6,328,543,17,47,4,0
8.3,192,1188,8,345,405,17,85,3,0
6.0,246,3948,3,333,357,13,78,4,0
6.2,171,1960,8,333,512,17,53,3,0
8.2,192,1281,7,343,418,13,86,3,0
7.1,205,3974,4,323,509,11,55,3,0
7.1,233,2707,6,298,357,16,51,4,0
7.1,220,2813,7,307,421,17,86,3,0
9.8,230,1610,5,333,300,14,61,4,0
8.7,219,3068,7,340,481,9,50,2,0
7.0,220,1862,6,333,397,14,77,3,0
